Source,Target,Type,id,label,weight
40,25,Directed,96,,1
41,24,Directed,97,,2
41,25,Directed,98,,3
42,24,Directed,101,,1
42,25,Directed,100,,2
42,41,Directed,99,,2
43,11,Directed,102,,3
43,26,Directed,103,,1
43,27,Directed,104,,1
44,11,Directed,106,,1
44,28,Directed,105,,3
45,28,Directed,107,,2
47,46,Directed,108,,1
48,11,Directed,112,,1
48,25,Directed,110,,1
48,27,Directed,111,,1
48,47,Directed,109,,2
49,11,Directed,114,,2
49,26,Directed,113,,3
50,24,Directed,116,,1
50,49,Directed,115,,1
51,11,Directed,119,,2
51,26,Directed,118,,2
51,49,Directed,117,,9
52,39,Directed,121,,1
52,51,Directed,120,,1
53,51,Directed,122,,1
54,26,Directed,125,,1
54,49,Directed,124,,1
54,51,Directed,123,,2
55,11,Directed,131,,19
55,16,Directed,132,,1
55,25,Directed,133,,2
55,26,Directed,130,,21
55,39,Directed,128,,1
55,41,Directed,134,,5
55,48,Directed,135,,4
55,49,Directed,127,,12
55,51,Directed,126,,6
55,54,Directed,129,,1
56,49,Directed,136,,1
56,55,Directed,137,,1
57,41,Directed,139,,1
57,48,Directed,140,,1
57,55,Directed,138,,1
58,11,Directed,145,,4
58,27,Directed,143,,6
58,48,Directed,142,,7
58,55,Directed,141,,7
58,57,Directed,144,,1
59,48,Directed,148,,6
59,55,Directed,147,,5
59,57,Directed,149,,2
59,58,Directed,146,,15
60,48,Directed,150,,1
60,58,Directed,151,,4
60,59,Directed,152,,2
61,48,Directed,153,,2
61,55,Directed,158,,1
61,57,Directed,157,,1
61,58,Directed,154,,6
61,59,Directed,156,,5
61,60,Directed,155,,2
62,41,Directed,164,,1
62,48,Directed,162,,7
62,55,Directed,159,,9
62,57,Directed,163,,2
62,58,Directed,160,,17
62,59,Directed,161,,13
62,60,Directed,166,,3
62,61,Directed,165,,6
63,48,Directed,168,,5
63,55,Directed,174,,1
63,57,Directed,170,,2
63,58,Directed,171,,4
63,59,Directed,167,,5
63,60,Directed,173,,2
63,61,Directed,172,,3
63,62,Directed,169,,6
64,11,Directed,184,,1
64,48,Directed,177,,5
64,55,Directed,175,,5
64,57,Directed,183,,1
64,58,Directed,179,,10
64,59,Directed,182,,9
64,60,Directed,181,,2
64,61,Directed,180,,6
64,62,Directed,176,,12
64,63,Directed,178,,4
65,48,Directed,187,,3
65,55,Directed,194,,2
65,57,Directed,193,,1
65,58,Directed,189,,5
65,59,Directed,192,,5
65,60,Directed,191,,2
65,61,Directed,190,,5
65,62,Directed,188,,5
65,63,Directed,185,,5
65,64,Directed,186,,7
66,48,Directed,200,,1
66,58,Directed,196,,3
66,59,Directed,197,,1
66,60,Directed,203,,1
66,61,Directed,202,,1
66,62,Directed,198,,2
66,63,Directed,201,,1
66,64,Directed,195,,3
66,65,Directed,199,,2
67,57,Directed,204,,3
68,11,Directed,206,,1
68,24,Directed,207,,1
68,25,Directed,205,,5
68,27,Directed,208,,1
68,41,Directed,210,,1
68,48,Directed,209,,1
69,11,Directed,213,,1
69,24,Directed,214,,1
69,25,Directed,211,,6
69,27,Directed,215,,2
69,41,Directed,217,,1
69,48,Directed,216,,1
69,68,Directed,212,,6
70,11,Directed,221,,1
70,24,Directed,222,,1
70,25,Directed,218,,4
70,27,Directed,223,,1
70,41,Directed,224,,1
70,58,Directed,225,,1
70,68,Directed,220,,4
70,69,Directed,219,,4
71,11,Directed,230,,1
71,25,Directed,233,,1
71,27,Directed,226,,1
71,41,Directed,232,,1
71,48,Directed,231,,1
71,68,Directed,228,,2
71,69,Directed,227,,2
71,70,Directed,229,,2
72,11,Directed,236,,1
72,26,Directed,234,,2
72,27,Directed,235,,1
73,48,Directed,237,,2
74,48,Directed,238,,2
74,73,Directed,239,,3
75,25,Directed,242,,3
75,41,Directed,244,,1
75,48,Directed,243,,1
75,68,Directed,241,,3
75,69,Directed,240,,3
75,70,Directed,245,,1
75,71,Directed,246,,1
76,48,Directed,252,,1
76,58,Directed,253,,1
76,62,Directed,251,,1
76,63,Directed,250,,1
76,64,Directed,247,,1
76,65,Directed,248,,1
76,66,Directed,249,,1
